Drug,Indications,Side Effects,Drug Interactions,Dosage
Benadryl Allergy Sinus Headache,,,,
Benadryl Allergy Ultratabs,,,,
Benadryl Anti-Itch Childrens,,,,
Benadryl-D,,,,
Benadryl Injection,,,,
Benadryl Itch Stopping,,,,
Benazepril,,,,
Benazepril Hydrochloride,,,,
Benazepril and Hydrochlorothiazide,,,,
Bencort Lotion,,,,
Bendamustine,,,,
Bendamustine Hydrochloride,,,,
Bendamustine Injection,,,,
Bendamustine Intravenous,,,,
Bendeka,,,,
Bendroflumethiazide,,,,
Bendroflumethiazide and nadolol,,,,
BeneFIX,,,,
Benefix Intravenous,,,,
Benemid,,,,
Bengay,,,,
Bengay Cold Therapy,,,,
BENGAY Pain Relieving,,,,
BENGAY Ultra,,,,
Bengay Vanishing Scent,,,,
Bengay Zero Degrees,,,,
Benicar,,,,
Benicar HCT,,,,
Benlysta,,,,
Benlysta (Belimumab Auto-Injectors and Prefilled Syringes),,,,
Benlysta (Belimumab Vials),,,,
Benoquin,,,,
Benoxyl Doxy 30 Kit,,,,
Benoxyl Doxy 60 Kit,,,,
Benprox,,,,
Benprox Wash,,,,
Benralizumab,,,,
Benralizumab Auto-Injectors,,,,
Benralizumab Prefilled Syringes,,,,
Benralizumab Subcutaneous,,,,
Bensal HP,,,,
Bensal HP Ointment,,,,
Bensonâ€™s Bottom Paint,,,,
Bentiromide,,,,
Bentoquatam,,,,
Bentoquatam Topical,,,,
Bentyl,,,,
Bentyl (Dicyclomine Capsules and Tablets),,,,
Bentyl (Dicyclomine Injection),,,,
Bentyl (Dicyclomine Syrup and Oral Solution),,,,
Benylin-E,,,,
Benylin E Extra Strength Chest Congestion,,,,
Benylin Pediatric Formula,,,,
Benzac AC,,,,
Benzac AC Wash,,,,
Benzaclin,,,,
Benzacot,,,,
Benzacot oral/injection,,,,
Benzac Topical,,,,
Benzac W Wash,,,,
Benzagel Topical,,,,
Benzalkonium Chloride,,,,
Benzamycin,,,,
Benzamycin Gel,,,,
Benzamycin Pak,,,,
Benzamycin Pak Topical,,,,
Benzashave Topical,,,,
Benzedrex,,,,
BenzEFoam,,,,
Benzefoam Ultra,,,,
BenzEFoam Ultra Topical,,,,
BenzePro,,,,
BenzePrO Creamy Wash,,,,
BenzePrO Foam,,,,
BenzePrO Foaming Cloths,,,,
BenzePrO Short Contact Foam,,,,
Benzethonium chloride topical,,,,
Benzhydrocodone and Acetaminophen,,,,
Benziq,,,,
Benziq Topical,,,,
Benziq Wash,,,,
Benznidazole,,,,
Benznidazole Tablets,,,,
"Benzocaine, Butamben, and Tetracaine",,,,
Benzocaine and Docusate,,,,
Benzocaine eent,,,,
Benzocaine Gel,,,,
Benzocaine and Glycerin Oral Spray,,,,
Benzocaine Lozenges,,,,
Benzocaine and Menthol Lozenges,,,,
Benzocaine and Menthol Strips,,,,
Benzocaine and Menthol Topical Spray,,,,
"Benzocaine Oral Cream, Gel, Liquid, and Ointment",,,,
Benzocaine Orally Disintegrating Tablets,,,,
"Benzocaine Oral, Oromucosal",,,,
Benzocaine Oral Spray,,,,
Benzocaine Oral Suspension,,,,
Benzocaine Rectal Ointment,,,,
Benzocaine Strips,,,,
Benzocaine topical,,,,
Benzocaine Topical application,,,,
Benzocaine Topical Spray,,,,
Benzocaine Topical Stick,,,,
Benzodent,,,,
Benzodent Cream,,,,
BenzoDox 30,,,,
BenzoDox 60,,,,
Benzoin Tincture,,,,
Benzoin Tincture Spray,,,,
Benzoin Tincture Swab,,,,
Benzo-Jel,,,,
Benzo-Jel Banana,,,,
Benzonatate,,,,
Benz-O-Sthetic,,,,
Benzotic,,,,
Benzoyl Peroxide,,,,
Benzoyl Peroxide Bar,,,,
Benzoyl Peroxide Cleanser,,,,
Benzoyl peroxide and clindamycin topical,,,,
Benzoyl peroxide and clindamycin Topical application,,,,
Benzoyl Peroxide Cloths,,,,
Benzoyl Peroxide Cream,,,,
Benzoyl Peroxide Emollient Foam,,,,
Benzoyl Peroxide Emulsion,,,,
Benzoyl peroxide and erythromycin topical,,,,
Benzoyl Peroxide Foam,,,,
Benzoyl Peroxide Gel,,,,
Benzoyl Peroxide and Hydrocortisone,,,,
Benzoyl peroxide and hydrocortisone topical,,,,
Benzoyl Peroxide Lotion,,,,
"Benzoyl Peroxide Pads, Salicylic Acid Pads, and Vitamin E Capsules",,,,
Benzoyl Peroxide Pads with Vitamin E Capsules,,,,
Benzoyl peroxide and salicylic acid topical,,,,
Benzoyl Peroxide Soap,,,,
Benzoyl Peroxide/Sulfur Gel,,,,
Benzoyl peroxide topical,,,,
Benzoyl Peroxide Wash,,,,
Benzoyl Peroxide Wash and Cleanser,,,,
Benzoyl Peroxide Wash and Lotion Kit,,,,
Benzphetamine,,,,
Benz-Protect Swabs,,,,
Benztropine,,,,
Benztropine Injection,,,,
Benztropine Mesylate,,,,
Benztropine Tablets,,,,
Benzyl Alcohol,,,,
Benzyl Alcohol Gel,,,,
Benzyl Alcohol Lotion,,,,
Benzyl alcohol topical,,,,
Benzyl benzoate Topical,,,,
Benzylpenicilloyl Polylysine,,,,
Beovu,,,,
Beovu Injection,,,,
Bepotastine,,,,
Bepotastine Besilate,,,,
Bepotastine besilate Ophthalmic,,,,
Bepotastine ophthalmic,,,,
Bepreve,,,,
Beractant,,,,
Beractant Solution,,,,
Bergamot Juice,,,,
Bergamot Oil,,,,
Berinert,,,,
Berkley and Jensen Acid Controller Complete,,,,
Berkley and Jensen Acid Controller Maximum Strength,,,,
Berkley and Jensen Acid Reducer Maximum Strength,,,,
Berri-Freez Pain Relieving,,,,
Beser,,,,
Beser Lotion,,,,
Besifloxacin,,,,
Besifloxacin Hydrochloride,,,,
Besifloxacin ophthalmic,,,,
Besivance,,,,
Besponsa,,,,
"Beta-2 adrenergic agonist Oral, Injection",,,,
Beta-adrenergic blocker Ophthalmic,,,,
Betac,,,,
Beta Care Betamide,,,,
Beta-Carotene,,,,
Betacort Scalp Lotion,,,,
Betadine,,,,
Betadine Ophthalmic,,,,
Betadine Ophthalmic Prep,,,,
Betadine Ophthalmic Solution,,,,
Betadine Skin Cleanser,,,,
Betadine Spray,,,,
Betadine Surgical Scrub,,,,
Betadine Swab Aid,,,,
Betadine Swabsticks,,,,
Betagan,,,,
Beta Glucans,,,,
Beta HC,,,,
Betaine,,,,
Betaine Hydrochloride,,,,
Beta Inject Kit,,,,
Betaloan SUIK,,,,
Beta Med,,,,
Beta Med Topical,,,,
Betamethacot,,,,
Betamethasone,,,,
Betamethasone Acetate,,,,
Betamethasone and calcipotriene topical,,,,
Betamethasone and calcipotriene Topical application,,,,
Betamethasone and Clotrimazole,,,,
Betamethasone and Clotrimazole Cream,,,,
Betamethasone and Clotrimazole Lotion,,,,
Betamethasone and clotrimazole topical,,,,
Betamethasone Cream,,,,
Betamethasone Cream Augmented,,,,
"Betamethasone Cream, Gel, and Ointment",,,,
Betamethasone Dipropionate,,,,
Betamethasone Dipropionate topical,,,,
Betamethasone dipropionate Topical application,,,,
Betamethasone Foam,,,,
Betamethasone Gel,,,,
Betamethasone injection,,,,
Betamethasone Lotion,,,,
Betamethasone Lotion Augmented,,,,
Betamethasone Ointment,,,,
Betamethasone Ointment Augmented,,,,
Betamethasone Sodium Phosphate and Betamethasone Acetate,,,,
Betamethasone sodium phosphate and betamethasone acetate  Injection,,,,
Betamethasone Spray,,,,
Betamethasone (Systemic),,,,
Betamethasone topical,,,,
Betamethasone Valerate,,,,
Betamethasone Valerate Foam,,,,
Betamethasone Valerate Lotion,,,,
Betamethasone Valerate topical,,,,
Betamethasone valerate Topical application,,,,
Betapace,,,,
Betapace AF,,,,
Betaquik,,,,
Betasal Topical,,,,
Betasept,,,,
Betasept Antiseptic Surgical Scrub,,,,
Betasept Surgical Scrub,,,,
Betaseron,,,,
Beta-Sitosterol,,,,
BetaTan,,,,
Betatar Gel Topical,,,,
Beta-Val,,,,
Betaxolol,,,,
Betaxolol Eye Drops,,,,
Betaxolol Eye Drops (Suspension),,,,
Betaxolol Hydrochloride,,,,
Betaxolol Hydrochloride eent,,,,
Betaxolol ophthalmic,,,,
Betaxolol (Systemic),,,,
Betaxolol Tablets,,,,
Betel Nut,,,,
Bethanechol,,,,
Bethanechol Chloride,,,,
"Bethanechol Oral, Subcutaneous",,,,
Bethkis,,,,
Bethkis inhalation,,,,
Bethkis Inhalation Solution,,,,
Bethroot,,,,
Betimol,,,,
Betnovate,,,,
Betnovate-1/2,,,,
Betony,,,,
Betoptic,,,,
Betoptic Pilo,,,,
Betoptic S,,,,
Betoptic S eent,,,,
Betrixaban,,,,
Betrixaban Maleate,,,,
Better Bladder Control,,,,
Bevacizumab,,,,
Bevacizumab-awwb,,,,
Bevacizumab-awwb Intravenous,,,,
Bevacizumab-bvzr,,,,
Bevacizumab-bvzr Intravenous,,,,
Bevacizumab Injection,,,,
Bevacizumab Intravenous,,,,
Bevespi Aerosphere,,,,
Bevyxxa,,,,
Bexarotene,,,,
Bexarotene Capsules,,,,
Bexarotene Gel,,,,
Bexarotene (Systemic),,,,
Bexarotene topical,,,,
Bexsero,,,,
Bextra,,,,
Bexxar,,,,
Beyaz,,,,
BeyondClear,,,,
Bezlotoxumab,,,,
Bezlotoxumab Intravenous,,,,
Biafine,,,,
Biaxin,,,,
Biaxin (Clarithromycin Oral Suspension),,,,
Biaxin (Clarithromycin Tablets),,,,
Biaxin Filmtab,,,,
Biaxin XL,,,,
Bicalutamide,,,,
Bicarsim,,,,
Bicarsim Forte,,,,
Bicillin C-R,,,,
Bicillin C-R 900/300,,,,
Bicillin L-A,,,,
Bicisate Injection,,,,
Bicitra,,,,
BiCNU,,,,
BiCNU injection/implant,,,,
"Bictegravir, emtricitabine, and tenofovir",,,,
"Bictegravir, Emtricitabine, and Tenofovir Alafenamide",,,,
"Bictegravir Sodium, Emtricitabine, and Tenofovir Alafenamide Fumarate",,,,
Bidette vaginal,,,,
Bidex-400,,,,
Bidex-A,,,,
BiDil,,,,
Bifera,,,,
BiferaRx,,,,
BiferaRx (Cyanocobalamin/Folic Acid/Iron),,,,
"BiferaRx (Polysaccharide-Iron Complex, Vitamin B12, and Folic Acid)",,,,
Bifidobacterium and lactobacillus,,,,
"Bifidobacterium, lactobacillus, and streptococcus",,,,
Bigeloil,,,,
Biifenac 1000,,,,
Biifenac 500,,,,
Bijuva,,,,
Biktarvy,,,,
Bilberry,,,,
Biltricide,,,,
Bimatoprost,,,,
Bimatoprost Eye Drops,,,,
Bimatoprost Eyelid Solution,,,,
Bimatoprost ophthalmic,,,,
Bimatoprost Ophthalmic Solution,,,,
Bimatoprost topical ophthalmic,,,,
Bimectin,,,,
Bimectin Paste,,,,
Binimetinib,,,,
Binora Topical,,,,
Binosto,,,,
Bioaches patch,,,,
Bio-Cef,,,,
Biocotron,,,,
Bio-Cox,,,,
Bio-D-Mulsion,,,,
Bio-D-Mulsion Forte,,,,
Bioelements Active Astringent,,,,
Bioelements Immediate Comfort,,,,
Biofed,,,,
BioFerr 90,,,,
Bioflavonoids,,,,
Bioflavonoids and zinc glycinate,,,,
Biofreeze,,,,
Biofreeze Colorless Gel,,,,
Biofreeze (Menthol Aerosol),,,,
"Biofreeze (Menthol Gel, Liquid, and Solution)",,,,
Biofreeze Roll-On Colorless Gel,,,,
BioGaia ProTectis Baby,,,,
Bio Glo,,,,
Bioglo Ophthalmic Strip,,,,
BIOHM Probiotic Childrens,,,,
Biolle Gel Tears,,,,
Biolle Tears,,,,
Biomedic Acetaminophen Arthritis Pain,,,,
Biomedic Children's Ibuprofen Suspension - Berry Flavour,,,,
Biomox,,,,
Biomox Tablets,,,,
BionaFem,,,,
Bionatuss,,,,
"Bionect (Hyaluronate Sodium Cream, Gel, and Spray)",,,,
Bionect (Hyaluronate Sodium Foam),,,,
Bionect topical,,,,
Bion Tears,,,,
Biopatch,,,,
Biopatch w/Chlorhexidine Gluconate,,,,
Biorphen,,,,
Biospec DMX,,,,
Bio-Statin,,,,
Biotalan Clear,,,,
Biotene,,,,
Biotene Dry Mouth (Saliva Substitute Gum),,,,
Biotene Dry Mouth (Saliva Substitute Solution),,,,
Biotene Mouthwash,,,,
Biotene Oral Balance,,,,
Bio-Therm Pain Relieving Lotion,,,,
BioThrax,,,,
Biothrax Vaccine,,,,
Biotin,,,,
Biotin Capsules and Tablets,,,,
Biotin Chewable Tablets,,,,
Biotin Oral-Disintegrating Tablets,,,,
Biotin Sublingual Tablets,,,,
Biotussin DAC,,,,
Biperiden,,,,
Biperiden Hydrochloride,,,,
Bisacodyl,,,,
Bisacodyl Enema,,,,
Bisacodyl oral and rectal,,,,
Bisacodyl and polyethylene glycol (PEG) 3350 with electrolytes,,,,
Bisacodyl Suppositories,,,,
Bisacodyl Suppository,,,,
Bisacodyl Tablets,,,,
Bisa-Lax,,,,
Bishop's Weed,,,,
Bismarex,,,,
Bismatrol,,,,
Bismatrol Maximum Strength,,,,
Bismusal Suspension,,,,
Bismuth Extra Strength,,,,
"Bismuth Extra Strength Oral, Rectal",,,,
Bismuth Original Formula,,,,
"Bismuth Original Formula Oral, Rectal",,,,
Bismuth Salts,,,,
"Bismuth Subcitrate, Metronidazole, and Tetracycline",,,,
"Bismuth subcitrate potassium, metronidazole, and tetracycline",,,,
Bismuth Subgallate,,,,
Bismuth subsalicylate,,,,
Bismuth Subsalicylate Chewable Tablets,,,,
"Bismuth subsalicylate, metronidazole, and tetracycline",,,,
Bismuth Subsalicylate Suspension,,,,
Bismuth Subsalicylate Tablets,,,,
Bisoprolol,,,,
Bisoprolol Fumarate,,,,
Bisoprolol and Hydrochlorothiazide,,,,
Bite-A-Mins,,,,
Bitter Melon,,,,
Bitter Orange,,,,
Bittersweet Nightshade,,,,
Bivalirudin,,,,
Bivalirudin Intravenous,,,,
Bivigam,,,,
Bivigam IGIV,,,,
Bi-Zets/Benzo-Troches,,,,
Black Cohosh,,,,
Black Currant,,,,
Black Draught,,,,
Black Haw,,,,
Black Walnut,,,,
Bladderwrack,,,,
Blanche,,,,
Blenoxane,,,,
Blenrep,,,,
Bleo 15k,,,,
Bleomycin,,,,
Bleomycin Injection,,,,
Bleomycin Sulfate,,,,
Bleph-10,,,,
Blephamide,,,,
Blephamide ophthalmic,,,,
Blephamide Ophthalmic Suspension,,,,
Blephamide S.O.P.,,,,
Blephamide S.O.P. ophthalmic,,,,
Blessed Thistle,,,,
Blinatumomab,,,,
Blinatumomab Intravenous,,,,
Blincyto,,,,
Blink Tears,,,,
Blisovi 24 Fe,,,,
Blisovi 24 FE birth control,,,,
Blisovi Fe 1/20,,,,
Blisovi Fe 1.5/30,,,,
Blistex Lip Balm,,,,
Blistex topical,,,,
Blis-To-Sol,,,,
Blis-To-Sol Powder,,,,
Blis-To-Sol Topical,,,,
Bloat Guard,,,,
Bloat Treatment,,,,
Blocadren,,,,
Bloodroot,,,,
Blood Stop,,,,
Bloxiverz,,,,
Bloxiverz Injection,,,,
Blue cohosh,,,,
Blue-Emu Maximum Strength,,,,
Blue Gel,,,,
BMD,,,,
BMD Soluble,,,,
B-Nexa Tablets,,,,
BocaSal,,,,
Boceprevir,,,,
Boldo,,,,
Bondronat,,,,
Bone Essentials,,,,
Boneset,,,,
Bonine,,,,
Boniva,,,,
Boniva (Ibandronate Injection),,,,
Boniva (Ibandronate Tablets),,,,
Boniva Intravenous,,,,
Boniva Tablets,,,,
Bonjesta,,,,
Bontril,,,,
Bontril PDM,,,,
Bontril Slow-Release,,,,
Bontril Slow-Release Capsules,,,,
Boostrix,,,,
Boostrix Intramuscular,,,,
Boostrix Tdap,,,,
Borage,,,,
Boric acid vaginal,,,,
Borofair,,,,
Borofair Ear Drops,,,,
Boroleum,,,,
Boron,,,,
Boro-Packs,,,,
Bortezomib,,,,
Bortezomib Intravenous,,,,
Bosentan,,,,
Bosentan Tablets,,,,
Bosentan Tablets for Oral Suspension,,,,
Bosulif,,,,
B & O Supprettes 15-A rectal,,,,
B & O Supprettes 16-A rectal,,,,
Bosutinib,,,,
Botox,,,,
Botox Cosmetic,,,,
Botulism Antitoxin (Equine),,,,
Botulism Antitoxin Heptavalent ABCDEFG Equine,,,,
Botulism antitoxin Intravenous,,,,
Botulism immune globulin,,,,
Botulism Immune Globulin (Intravenous-Human),,,,
Boudreaux's Butt Paste,,,,
Bounty Bears/C,,,,
Bovatec,,,,
Bovatec 150 FP,,,,
Bovine Colostrum,,,,
BP 10-Wash,,,,
BP Allergy DM,,,,
BP Allergy JR,,,,
BP Cleansing Wash,,,,
BPCO,,,,
BP Foaming Wash,,,,
B-Plex 100 Injection,,,,
"BPM Mal, Phenyleph HCl, DM",,,,
"BPM Mal, PSE HC, DM HBr",,,,
BPM Pseudo,,,,
BPO-10 Wash,,,,
BPO 3 Foaming Cloths,,,,
BPO 4% Gel Topical,,,,
BPO-5 Wash,,,,
BPO 6 Foaming Cloths,,,,
BPO 8% Gel Topical,,,,
BPO 9 Foaming Cloths,,,,
BProtected Pedia D-Vite,,,,
BProtected Pedia Poly-Vite,,,,
BPS Gel,,,,
BP Vit 3,,,,
BP Wash,,,,
Braftovi,,,,
Brahmi,,,,
Braline Patch,,,,
BranchAmin,,,,
Branched-Chain Amino Acids,,,,
Bravelle,,,,
Bremelanotide,,,,
Bremelanotide Acetate,,,,
Bremelanotide Subcutaneous,,,,
Brentuximab Intravenous,,,,
Brentuximab vedotin,,,,
Breo Ellipta,,,,
Breo Ellipta (combination),,,,
Brethine,,,,
Brethine Subcutaneous,,,,
Bretylium,,,,
Bretylium Injection,,,,
Bretzri,,,,
Brevibloc,,,,
Brevibloc in NaCl,,,,
Brevibloc Premixed,,,,
Brevibloc Premixed DS,,,,
Brevicon,,,,
Brevital Sodium,,,,
Brevoxyl Acne Wash Kit,,,,
Brevoxyl (Benzoyl Peroxide Gel),,,,
Brevoxyl (Benzoyl Peroxide Lotion),,,,
Brevoxyl Creamy Wash,,,,
Brevoxyl Gel,,,,
Brevoxyl Topical,,,,
Brewer's Yeast,,,,
Brexanolone,,,,
Brexanolone Intravenous,,,,
Brexpiprazole,,,,
Brexucabtagene Autoleucel,,,,
Breztri Aerosphere,,,,
Bridion,,,,
Briellyn,,,,
Brigatinib,,,,
Brilinta,,,,
Brilinta Tablets,,,,
Brimonidine,,,,
Brimonidine and brinzolamide ophthalmic,,,,
Brimonidine ophthalmic,,,,
Brimonidine Tartrate eent,,,,
Brimonidine Tartrate topical,,,,
Brimonidine and Timolol,,,,
Brimonidine and timolol ophthalmic,,,,
Brimonidine topical,,,,
Brimonidine Topical application,,,,
Brineura,,,,
Brintellix,,,,
Brinzolamide,,,,
Brinzolamide and Brimonidine,,,,
Brinzolamide ophthalmic,,,,
Brioschi,,,,
Brisdelle,,,,
Brivaracetam,,,,
Brivaracetam Injection,,,,
Brivaracetam Intravenous,,,,
Brivaracetam oral/injection,,,,
Brivaracetam Oral Solution,,,,
Brivaracetam Tablets,,,,
Briviact,,,,
Briviact (Brivaracetam Injection),,,,
Briviact (Brivaracetam Oral Solution),,,,
Briviact (Brivaracetam Tablets),,,,
Briviact Intravenous,,,,
Broccoli,,,,
Brodalumab,,,,
Brodalumab Subcutaneous,,,,
Brodspec,,,,
Brolucizumab,,,,
Brolucizumab-dbll,,,,
Brolucizumab-dbll Intraocular,,,,
Brolucizumab ophthalmic,,,,
Bromaline,,,,
Bromaline DM,,,,
Bromatan-DM,,,,
Bromatan Plus,,,,
Bromax Tablets,,,,
Bromcomp HC,,,,
Bromday,,,,
Bromdex D,,,,
Bromelain,,,,
Bromfed,,,,
Bromfed DM,,,,
Bromfed-PD,,,,
Bromfenac,,,,
Bromfenac ophthalmic,,,,
Bromfenac Ophthlamic Solution,,,,
Bromfenac Sodium,,,,
Bromhist PDX,,,,
Bromhist-PDX Syrup,,,,
Brom Mal Phenyl HCl Dex HBr,,,,
Bromocriptine,,,,
Bromocriptine Capsules,,,,
Bromocriptine (Cycloset),,,,
Bromocriptine Mesylate,,,,
Bromocriptine (Parlodel),,,,
Bromo Seltzer,,,,
Brompheniramine,,,,
Brompheniramine Chewable Tablets,,,,
"Brompheniramine, chlorpheniramine, methscopolamine, phenylephrine, and pseudoephedrine",,,,
Brompheniramine and codeine,,,,
"Brompheniramine, codeine, and phenylephrine",,,,
"Brompheniramine, Codeine, and Phenylephrine Liquid",,,,
"Brompheniramine, codeine, and pseudoephedrine",,,,
"Brompheniramine, dextromethorphan, guaifenesin, and phenylephrine",,,,
"Brompheniramine, dextromethorphan, and phenylephrine",,,,
"Brompheniramine, dextromethorphan, and pseudoephedrine",,,,
"Brompheniramine, hydrocodone, and pseudoephedrine",,,,
Brompheniramine Liquid,,,,
"Brompheniramine Maleate, Dexbrompheniramine Maleate",,,,
Brompheniramine Maleate Drops,,,,
Brompheniramine and phenylephrine,,,,
Brompheniramine and Phenylephrine Liquid,,,,
Brompheniramine and Phenylephrine Suspension,,,,
Brompheniramine and Phenylephrine Tablets,,,,
Brompheniramine and pseudoephedrine,,,,
Brompheniramine and Pseudoephedrine Capsules and Tablets,,,,
"Brompheniramine, Pseudoephedrine, Dextromethorpan Syrup",,,,
"Brompheniramine, Pseudoephedrine, and Dextromethorphan",,,,
Brompheniramine and Pseudoephedrine Drops,,,,
Brompheniramine and Pseudoephedrine Liquid,,,,
Brompheniramine Tablets,,,,
Bromplex DM,,,,
Bromplex HD,,,,
BromSite,,,,
BromSite ophthalmic,,,,
Broncho-Grippex Expectorant,,,,
Broncotron,,,,
Broncotron-D,,,,
Bronkaid,,,,
Bronkaid Mistometer,,,,
Bronkids,,,,
Broom,,,,
Brotapp,,,,
Brotapp-DM,,,,
Brovana,,,,
BroveX CB,,,,
Brovex CT,,,,
BroveX-D,,,,
BroveX PB,,,,
BroveX PEB DM,,,,
BroveX PSE DM,,,,
Brukinsa,,,,
Bryhali,,,,
BSP 0820,,,,
BSS,,,,
BSS intraocular,,,,
BSS Plus,,,,
BSS Plus intraocular,,,,
BSS Plus Sterile Irrigating Solution,,,,
BSS Sterile Irrigating Solution,,,,
BTB Hoof,,,,
BTB Plus,,,,
BTB Wind,,,,
BT Injection Kit,,,,
B-Tuss,,,,
Bubbli-Pred,,,,
Buchu,,,,
Buckleys Mixture,,,,
Budeprion SR,,,,
Budeprion SR Tablets,,,,
Budeprion XL,,,,
Budesonide,,,,
Budesonide Capsule,,,,
Budesonide eent,,,,
Budesonide ER Tablets,,,,
Budesonide Extended-Release Capsules,,,,
Budesonide Extended-Release Tablets,,,,
Budesonide and Formoterol,,,,
Budesonide and Formoterol Aerosol,,,,
Budesonide and formoterol inhalation,,,,
"Budesonide, Glycopyrrolate, and Formoterol",,,,
Budesonide inhalation,,,,
Budesonide Inhalation Powder,,,,
Budesonide Inhalation Suspension,,,,
Budesonide nasal,,,,
Budesonide Nasal Spray,,,,
Budesonide (Oral Inhalation),,,,
Budesonide rectal,,,,
Budesonide Rectal Foam,,,,
Budesonide (Systemic),,,,
Budesonide (Topical),,,,
Bufen,,,,
Buffered Salt,,,,
Bufferin,,,,
Bug Bites,,,,
Bugleweed,,,,
Bulk-Forming Laxatives,,,,
Bumetanide,,,,
Bumetanide Injection,,,,
Bumetanide oral/injection,,,,
Bumetanide Tablets,,,,
Bumex,,,,
Bumex Injection,,,,
Bumex oral/injection,,,,
Buminate,,,,
Buminate human,,,,
BumP DHA,,,,
Bunavail,,,,
Bunavail Buccal Film,,,,
Bupap,,,,
Bupap Tablets,,,,
Buphenyl,,,,
Buphenyl (Sodium Phenylbutyrate Powder),,,,
Buphenyl (Sodium Phenylbutyrate Tablets),,,,
Bupivacaine,,,,
Bupivacaine and Epinephrine,,,,
Bupivacaine and epinephrine Injection,,,,
Bupivacaine Fisiopharma,,,,
Bupivacaine Hydrochloride,,,,
Bupivacaine Injection,,,,
Bupivacaine (Liposomal),,,,
Bupivacaine liposome,,,,
Bupivacaine liposome Injection,,,,
Bupivacaine Spinal,,,,
Bupleurum,,,,
Buprenex,,,,
Buprenex injection - Buprenex,,,,
Buprenorphine,,,,
Buprenorphine Buccal Film,,,,
"Buprenorphine, Buprenorphine Hydrochloride",,,,
Buprenorphine Extended-Release Injection,,,,
Buprenorphine Implant,,,,
Buprenorphine Injection,,,,
Buprenorphine injection - Buprenex,,,,
Buprenorphine injection - Sublocade,,,,
Buprenorphine Intradermal,,,,
Buprenorphine and Naloxone,,,,
Buprenorphine and Naloxone Buccal Film,,,,
Buprenorphine and naloxone oral/sublingual,,,,
"Buprenorphine/naloxone Oromucosal, Sublingual",,,,
Buprenorphine and Naloxone Sublingual Film,,,,
Buprenorphine and Naloxone Sublingual Film (Suboxone),,,,
Buprenorphine and Naloxone Sublingual Tablets,,,,
Buprenorphine oral/buccal,,,,
Buprenorphine Patch,,,,
Buprenorphine Sublingual,,,,
Buprenorphine Sublingual Tablets,,,,
Buprenorphine Transdermal,,,,
Buprenorphine Transdermal Patch,,,,
Buprenorphine transdermal skin patch,,,,
Buproban,,,,
Bupropion,,,,
Bupropion Extended-Release Tablets,,,,
Bupropion Hydrochloride,,,,
Bupropion and naltrexone,,,,
Bupropion SR Tablets,,,,
Bupropion Sustained-Release Tablets (Smoking Deterrent),,,,
Bupropion Tablets,,,,
Bupropion Tablets and Sustained-Release Tablets,,,,
Burapren Injection,,,,
Burdock,,,,
Bur Marigold,,,,
Burnamycin Topical application,,,,
Burn-O-Jel Topical application,,,,
Burosumab,,,,
Burosumab-twza,,,,
Burosumab-twza Subcutaneous,,,,
Buscopan,,,,
Buspar,,,,
Buspar Dividose,,,,
Buspirone,,,,
Buspirone Hydrochloride,,,,
Busulfan,,,,
Busulfan Concentrate Injection,,,,
Busulfan Injection,,,,
Busulfan Intravenous,,,,
Busulfan oral/injection,,,,
Busulfan Tablet,,,,
Busulfex,,,,
Butabarbital,,,,
Butalbital and Acetaminophen,,,,
"Butalbital, acetaminophen, and caffeine",,,,
"Butalbital, Acetaminophen and Caffeine Capsule",,,,
"Butalbital, Acetaminophen, and Caffeine Capsules and Tablets",,,,
"Butalbital, Acetaminophen, Caffeine, and Codeine",,,,
"Butalbital, Acetaminophen, and Caffeine Solution",,,,
Butalbital and Acetaminophen Capsule,,,,
Butalbital and acetaminophen combination,,,,
"Butalbital, Aspirin, and Caffeine",,,,
"Butalbital,Aspirin and Caffeine Capsule",,,,
"Butalbital, Aspirin, Caffeine, and Codeine",,,,
"Butalbital, aspirin, and codeine",,,,
Butalbital and aspirin combination,,,,
Butalbital Compound,,,,
Butapap,,,,
Butcher's Broom,,,,
Butenafine,,,,
Butenafine Hydrochloride,,,,
Butenafine topical,,,,
Butisol,,,,
Butisol Sodium,,,,
Butisol Sodium Oral,,,,
Butoconazole,,,,
Butoconazole vaginal,,,,
Butorphanol,,,,
Butorphanol injection,,,,
Butorphanol Injection Solution,,,,
Butorphanol nasal,,,,
Butorphanol Nasal Solution,,,,
Butorphanol Nasal Spray,,,,
Butorphanol Tartrate,,,,
Butrans,,,,
Butrans Patch,,,,
Butterbur,,,,
By-Ache,,,,
Bydureon,,,,
Bydureon BCise,,,,
Bydureon (Exenatide Extended-Release Injection (Bydureon) (Pens)),,,,
Bydureon (Exenatide Extended-Release Injection (Bydureon) (Trays)),,,,
Bydureon Pen,,,,
Byetta,,,,
Byfavo,,,,
Bynfezia,,,,
Bystolic,,,,
Byvalson,,,,
B-12 Compliance Injection,,,,
B-12 Dots,,,,
B2-400,,,,
B!2 Inject Kit,,,,
B-3-50,,,,
B3-500-Gr,,,,
Cabazitaxel,,,,
Cabazitaxel Intravenous,,,,
Cabergoline,,,,
Cablivi,,,,
Cabometyx,,,,
Cabozantinib,,,,
Cabozantinib Capsules,,,,
Cabozantinib S-malate,,,,
Cabozantinib Tablets,,,,
Cactus,,,,
Cadexomer Iodine Gel,,,,
Cadexomer Iodine Gel Pad,,,,
