drug,indication,side_effects,drug_interaction,dosage
Enoxaparin Sodium Injection,"['Prophylaxis of deep vein thrombosis (DVT), which may lead to pulmonary embolism (PE) in patients undergoing abdominal surgery, hip replacement surgery, knee replacement surgery, or general medical patients who are at risk for thromboembolic complications due to severely restricted mobility during acute illness.', 'Treatment of acute DVT with or without PE.', 'Prevention of ischemic complications of unstable angina and non-Q-wave myocardial infarction, when co-administered with aspirin.', 'Treatment of acute ST-segment elevation myocardial infarction (STEMI) including patients who are to be managed medically and those who are to undergo percutaneous coronary intervention (PCI).']","['Bleeding (e.g., hemorrhage, hematoma, ecchymosis, anemia)', 'Thrombocytopenia (low platelet count)', 'Local irritation at the injection site (e.g., pain, bruising, redness, swelling)', 'Allergic reactions (e.g., rash, itching, hives, angioedema, anaphylaxis)', 'Elevated liver enzymes', 'Fever', 'Confusion', 'Nausea', 'Pain', 'Edema', 'Peripheral edema']","['Other anticoagulants (e.g., warfarin, heparin, dabigatran, rivaroxaban, apixaban) may increase the risk of bleeding.', 'Antiplatelet agents (e.g., aspirin, clopidogrel, prasugrel, ticagrelor) may increase the risk of bleeding.', 'Nonsteroidal anti-inflammatory drugs (NSAIDs) (e.g., ibuprofen, naproxen) may increase the risk of bleeding.', 'Certain herbal supplements (e.g., ginkgo biloba, garlic, ginger) may increase the risk of bleeding.']","Dosage is patient-specific and depends on the indication.  It's crucial to consult medical resources for specific dosing guidelines as it varies based on weight, renal function, and the condition being treated.  Examples include:
* Prophylaxis of DVT: 30 mg or 40 mg subcutaneously every 12 hours or once daily.
* Treatment of DVT/PE: 1 mg/kg subcutaneously every 12 hours or 1.5 mg/kg subcutaneously once daily.
* Acute Coronary Syndrome:  1 mg/kg subcutaneously every 12 hours, often with concomitant aspirin."
Endocet 5/325,Endocet 5/325 is indicated for the short-term management of moderate to moderately severe acute pain.,"Common side effects include nausea, vomiting, constipation, lightheadedness, dizziness, drowsiness, and sweating.  Serious side effects can include respiratory depression, addiction, overdose, and allergic reactions.  This is not an exhaustive list, consult with a healthcare professional for complete information.","Endocet 5/325 can interact with alcohol, other opioid pain medications, benzodiazepines, antidepressants (MAOIs and SSRIs), muscle relaxants, and certain medications for seizures, sleep, or anxiety.  It can also interact with certain antifungal medications (like ketoconazole) and HIV medications. Consult with a healthcare professional or pharmacist for a complete list of potential interactions.",Dosage should be individualized based on the severity of pain and patient response.  A common starting dose is one or two tablets every 4-6 hours as needed for pain.  Do not exceed the maximum daily dose prescribed by your physician. It is important to follow your doctor's instructions carefully.
Etanercept Subcutaneous,"['Moderate to severe rheumatoid arthritis (RA) in adults', 'Juvenile idiopathic arthritis (JIA) in children 2 years and older', 'Psoriatic arthritis', 'Ankylosing spondylitis', 'Plaque psoriasis', 'Moderate to severe polyarticular juvenile idiopathic arthritis (JIA) in children 2 years and older']","['Injection site reactions (redness, swelling, pain)', 'Upper respiratory infections (common cold, sinusitis)', 'Headache', 'Nausea', 'Serious infections (tuberculosis, invasive fungal infections)', 'Lymphoma and other malignancies (rare)', 'Demise of myelin sheath in the nervous system (demyelinating disorders)', 'Heart failure', 'Liver problems', 'Blood disorders (e.g., pancytopenia, aplastic anemia)', 'Allergic reactions']","['Live vaccines (avoid concurrent use)', 'Anakinra or abatacept (increased risk of serious infections)', 'TNF blockers (increased risk of serious infections)', 'Therapeutic monoclonal antibodies', 'Drugs that suppress the immune system (e.g., methotrexate, cyclosporine)']","['Rheumatoid arthritis: 50 mg subcutaneously once weekly', 'Psoriatic arthritis: 50 mg subcutaneously once weekly', 'Ankylosing spondylitis: 50 mg subcutaneously once weekly', 'Plaque psoriasis: 50 mg subcutaneously twice weekly for 3 months, then 50 mg once weekly', 'Polyarticular juvenile idiopathic arthritis: 0.4 mg/kg (up to a maximum of 25 mg) subcutaneously twice weekly or 0.8 mg/kg (up to a maximum of 50 mg) subcutaneously once weekly']"
ElixSure Congestion Children's,ElixSure Congestion Children's is indicated for the temporary relief of nasal congestion and cough due to the common cold or other upper respiratory allergies in children.,"Possible side effects of ElixSure Congestion Children's include nervousness, dizziness, sleeplessness, nausea, and vomiting.  More serious side effects, though rare, could include rapid heart rate, allergic reactions (rash, itching, swelling), and hallucinations. If any of these occur, stop use and contact a doctor immediately.","ElixSure Congestion Children's may interact with certain medications, such as other decongestants, antidepressants (MAOIs and tricyclics), and blood pressure medications. It's important to inform your doctor or pharmacist about all other medications your child is taking, including over-the-counter drugs and supplements.  This product should not be taken with any other product containing phenylephrine or pseudoephedrine.",Dosage of ElixSure Congestion Children's depends on the child's age and weight. Always follow the directions on the product label or as directed by a doctor. Do not exceed the recommended dose. Consult a healthcare professional for appropriate dosing for children under 6 years of age.
Estrace,"['Moderate to severe vasomotor symptoms associated with menopause (hot flashes, night sweats)', 'Vulvar and vaginal atrophy (thinning and dryness of vaginal tissues)', 'Hypoestrogenism (low estrogen levels)', 'Female hypogonadism (underfunctioning ovaries)', 'Osteoporosis prevention in postmenopausal women at high risk', 'Palliative treatment of advanced breast cancer and prostate cancer (in certain cases)']","['Headache', 'Nausea', 'Breast tenderness', 'Bloating', 'Swelling in the ankles or feet', 'Vaginal bleeding or spotting', 'Changes in mood', 'Increased risk of blood clots (deep vein thrombosis, pulmonary embolism), stroke, heart attack, gallbladder disease, and certain types of cancer (endometrial, breast) in some women']","[""Certain medications can decrease the effectiveness of estradiol, including anticonvulsants (e.g., carbamazepine, phenytoin, phenobarbital), rifampin, and St. John's wort."", 'Estradiol can increase the effects of certain medications, such as corticosteroids and some anticoagulants (blood thinners).', 'Grapefruit juice may increase estradiol levels in the body.']","Dosage varies depending on the indication and the form of estradiol being used (e.g., tablets, vaginal cream, transdermal patch).  It's crucial to follow the dosage instructions provided by your healthcare professional.  For example, for vasomotor symptoms associated with menopause, oral estradiol tablets are typically started at 1mg or 2mg daily.  For vaginal atrophy, vaginal creams or tablets are used at lower doses.  Dosages should be individualized based on patient response and risk factors."
"Emcyt Oral, Parenteral, Topical application, Transdermal","Emcyt (estramustine phosphate sodium) is primarily indicated for metastatic or progressive prostate cancer.  It is often used in combination with other treatments. The different formulations (oral, parenteral, topical, transdermal) are NOT interchangeable and have specific, limited uses.  Oral is the most common form for prostate cancer. Parenteral, topical, and transdermal formulations of estramustine phosphate sodium *do not exist* in clinically used forms.  Information regarding these routes of administration is therefore not applicable.","Common side effects of oral estramustine include nausea, vomiting, diarrhea, fluid retention (edema), gynecomastia (breast enlargement in men), decreased libido, and impotence.  More serious but less common side effects can include blood clots (thromboembolic events such as deep vein thrombosis and pulmonary embolism), heart problems, and liver dysfunction.  Side effects related to non-existent parenteral, topical, or transdermal formulations are not applicable.","Estramustine can interact with anticoagulants (blood thinners like warfarin), increasing the risk of bleeding.  It can also interact with other medications metabolized by the liver.  No specific food interactions are typically noted, but a healthy diet is recommended during treatment. Drug interactions related to non-existent parenteral, topical, or transdermal formulations are not applicable.","The typical oral dosage of estramustine for prostate cancer is 14 mg/kg/day, divided into three or four doses.  The dosage may be adjusted based on the patient's response and tolerance to the medication. Dosage information for non-existent parenteral, topical, or transdermal formulations is not applicable.  It is crucial to consult with a healthcare professional for appropriate dosing and administration instructions.  **Do not self-medicate.**"
Emtricitabine and Tenofovir Disoproxil Fumarate,"Emtricitabine and Tenofovir Disoproxil Fumarate is a fixed-dose combination medication used for the following indications:

* **Pre-Exposure Prophylaxis (PrEP) of HIV:**  To reduce the risk of sexually acquired HIV infection in adults and adolescents at high risk.
* **Treatment of HIV Infection:** In combination with other antiretroviral agents, for the treatment of HIV-1 infection in adults and pediatric patients weighing at least 35 kg.","Common side effects may include:

* **Gastrointestinal:** Nausea, vomiting, diarrhea, abdominal pain
* **Headache**
* **Fatigue**
* **Dizziness**
* **Insomnia**
* **Skin rash**
* **Changes in skin color (hyperpigmentation)

More serious side effects, though less common, can include:

* **Lactic acidosis (buildup of lactic acid in the blood)**
* **Severe liver problems**
* **Worsening of hepatitis B infection (if present)**
* **Kidney problems, including kidney failure**
* **Decreased bone mineral density**

It is important to note that this is not an exhaustive list, and patients should consult with their healthcare provider for a complete list of potential side effects and to discuss any concerns.","Emtricitabine and Tenofovir Disoproxil Fumarate can interact with several other medications, including:

* **Other antiretroviral drugs:**  Interactions with other HIV medications can occur.  Dosage adjustments may be necessary.
* **Nephrotoxic drugs:**  Drugs that can harm the kidneys (e.g., aminoglycosides, high-dose or multiple NSAIDs) can increase the risk of kidney problems when used with emtricitabine/tenofovir.
* **Adefovir dipivoxil:**  Should not be used concurrently with adefovir dipivoxil.
* **Didanosine:** When used together, didanosine doses need to be adjusted, and monitoring for didanosine-related side effects is necessary.
* **High doses of or multiple nonsteroidal anti-inflammatory drugs (NSAIDs):** Increased risk of kidney problems.

Patients should inform their healthcare provider about all medications, supplements, and herbal products they are taking to avoid potential interactions.","The dosage of Emtricitabine and Tenofovir Disoproxil Fumarate varies depending on the indication (PrEP or HIV treatment) and the patient's age and weight.  

* **For PrEP:** The typical dose is one tablet (200 mg emtricitabine/300 mg tenofovir disoproxil fumarate) taken orally once daily.
* **For HIV Treatment:** The typical dose is also one tablet once daily, but this is always in combination with other antiretroviral medications. 

It's crucial to follow the healthcare provider's prescribed dosage and instructions.  Dosage adjustments may be needed in patients with kidney impairment."
Epaned,"Epaned (epinephrine injection, USP) is indicated for the emergency treatment of severe allergic reactions (Type I), including anaphylaxis, caused by stings or bites from insects, foods, drugs, diagnostic testing substances (e.g., radiocontrast media) and other allergens, as well as idiopathic or exercise-induced anaphylaxis. It is also indicated in the treatment of acute asthmatic attacks, mucosal congestion, and to prolong the action of local anesthetics.","Common side effects of Epaned include anxiety, nervousness, restlessness, tremor, weakness, dizziness, sweating, palpitations, pallor, nausea, and vomiting.  More serious side effects, though less common, can include severe high blood pressure (hypertension), abnormal heart rhythms (arrhythmias), heart attack (myocardial infarction), stroke, and pulmonary edema.  These effects are more likely in patients with underlying heart disease.","Epaned can interact with certain medications, including: 
- **Beta-blockers:** These drugs can block the effects of epinephrine and lead to dangerously high blood pressure.
- **Tricyclic antidepressants (TCAs):** Can potentiate the cardiovascular effects of epinephrine.
- **Monoamine oxidase inhibitors (MAOIs):** Can prolong and intensify the effects of epinephrine.
- **Digitalis glycosides:** May predispose to cardiac arrhythmias when given with epinephrine.
- **Thyroid hormones:** May increase the risk of adverse cardiovascular effects when used with epinephrine.","The dosage of Epaned depends on the indication and the patient's age and weight.  For anaphylaxis in adults, the usual dose is 0.3 to 0.5 mg intramuscularly into the anterolateral aspect of the thigh. This dose may be repeated every 5 to 15 minutes as needed. For children, the dose is 0.01 mg/kg intramuscularly, up to a maximum of 0.3 mg, and may be repeated every 5 to 15 minutes if necessary.  Dosage for other indications should be determined by a healthcare professional."
Erythromycin and sulfisoxazole,"Erythromycin and sulfisoxazole is indicated for the treatment of otitis media caused by susceptible strains of *Haemophilus influenzae* (when ampicillin is contraindicated), *Moraxella catarrhalis*, or *Streptococcus pneumoniae*. It is also indicated for the treatment of acute otitis media in pediatric patients due to susceptible strains of *Streptococcus pyogenes*.  It's important to note that due to increasing resistance patterns, culture and susceptibility testing should be performed.","Common side effects include stomach upset (nausea, vomiting, diarrhea), loss of appetite, and diaper rash in infants. More serious but less common side effects can include allergic reactions (rash, itching, swelling, severe dizziness, trouble breathing), jaundice (yellowing of skin or eyes), and hearing changes.  Stevens-Johnson syndrome and toxic epidermal necrolysis are rare but serious side effects.","Erythromycin and sulfisoxazole can interact with several medications.  Key interactions include: anticoagulants (warfarin),  digoxin, certain anticonvulsants (phenytoin, carbamazepine),  theophylline, and other medications metabolized by the liver.  It can also interact with pimozide, ergotamine, and dihydroergotamine, potentially leading to serious cardiac events.  Sulfisoxazole can displace bilirubin from albumin, increasing the risk of kernicterus in newborns. Co-administration with methenamine can increase the risk of crystalluria.",The dosage of erythromycin and sulfisoxazole is based on the erythromycin component.  It is usually given every 6 hours. The specific dose depends on the age and weight of the patient and the severity of the infection.  It's crucial to follow the prescribed dosage instructions provided by a healthcare professional.  Treatment duration is typically 10 days.
Eptinezumab-jjmr,Eptinezumab-jjmr (Vyepti) is indicated for the preventive treatment of migraine in adults.,"Common side effects include nasopharyngitis (common cold symptoms), hypersensitivity reactions (rash, itching, hives, swelling), and injection site reactions.  Less common but potentially serious side effects can include serious allergic reactions.  It is important to seek immediate medical attention if signs of an allergic reaction occur, such as difficulty breathing, swelling of the face, lips, tongue, or throat, or severe dizziness.","Currently, there are no known significant drug interactions with eptinezumab-jjmr.  However, it is always important to inform your healthcare provider about all the medications, including over-the-counter drugs, supplements, and herbal remedies, that you are taking. This helps them assess for any potential interactions, even if they are rare or currently unknown.","Eptinezumab-jjmr is administered intravenously by a healthcare professional. The recommended dosage is 100 mg every 3 months (administered as an intravenous infusion over approximately 30 minutes).  Some patients may benefit from a 300 mg dose, but this should be determined by the treating physician based on individual patient needs and response.  It's crucial not to self-adjust the dosage and to follow the prescribed regimen provided by your healthcare provider."
Enkaid,Enkaid (dofetilide) is indicated for the maintenance of normal sinus rhythm (conversion of atrial fibrillation or atrial flutter to normal sinus rhythm) in patients with symptomatic atrial fibrillation/flutter of recent onset who have been converted to normal sinus rhythm.  It is also used for the conversion of atrial fibrillation and atrial flutter to normal sinus rhythm in patients at risk of developing atrial fibrillation/flutter.,"Common side effects of Enkaid can include headache, dizziness, chest pain, and nausea.  The most serious potential side effect of Enkaid is torsades de pointes, a type of life-threatening ventricular tachycardia.  Other serious but less common side effects may include other heart rhythm problems,  difficulty breathing, and swelling in the legs or feet.","Enkaid has several significant drug interactions.  It should not be used with certain medications that can prolong the QT interval, such as certain antiarrhythmics (e.g., amiodarone, sotalol), some antibiotics (e.g., erythromycin, clarithromycin), and some antifungals (e.g., ketoconazole, itraconazole).  Other drugs that may interact with Enkaid include verapamil, cimetidine, trimethoprim (alone or in combination with sulfamethoxazole), and certain diuretics (e.g., hydrochlorothiazide, spironolactone).  It's crucial to inform your doctor about all medications and supplements you are taking.","Enkaid dosage must be individualized based on creatinine clearance (CrCl).  Dosage adjustments are necessary for patients with impaired renal function.  It's crucial that Enkaid initiation and dose adjustments be carried out by physicians familiar with the drug's use and with facilities available for cardiac monitoring and assessment of electrolyte levels.  Because of the risk of torsades de pointes, Enkaid initiation should occur in a setting with continuous electrocardiographic monitoring for at least 3 days.  Specific dosing information should be obtained from a healthcare professional and the medication's prescribing information."
Envarsus XR,"Envarsus XR (tacrolimus extended-release) is indicated for the prophylaxis of organ rejection in adult kidney, liver, and heart transplant recipients. It is usually administered in conjunction with other immunosuppressants.","Common side effects of Envarsus XR can include tremor, headache, diarrhea, high blood pressure, kidney problems, nausea, vomiting, constipation, trouble sleeping, and increased blood sugar.  More serious side effects, though less common, can include infections, malignancies (such as skin cancer and lymphoma), posterior reversible encephalopathy syndrome (PRES), and thrombotic thrombocytopenic purpura (TTP). This is not an exhaustive list, and patients should consult with their healthcare provider for a complete understanding of potential side effects.","Envarsus XR interacts with numerous medications. Some key interactions include: 
- **Antifungals (e.g., ketoconazole, fluconazole):** Can increase tacrolimus blood levels.
- **Antibiotics (e.g., erythromycin, clarithromycin):** Can increase tacrolimus blood levels.
- **Anticonvulsants (e.g., phenytoin, carbamazepine):** Can decrease tacrolimus blood levels.
- **Grapefruit juice:** Can increase tacrolimus blood levels.
- **St. John's Wort:** Can decrease tacrolimus blood levels.
- **Immunosuppressants (e.g., cyclosporine):**  Should not be used concurrently with cyclosporine.
 Patients should inform their healthcare provider of all medications and supplements they are taking to avoid potential interactions.","The dosage of Envarsus XR is individualized based on the patient's organ transplanted, other immunosuppressants used, and therapeutic drug monitoring.  Generally, for *de novo* kidney and liver transplant recipients, the initial dose is 0.17 mg/kg/day administered once daily, starting within 24 hours post-transplantation. For stable patients converting from twice-daily tacrolimus products, the total daily dose of Envarsus XR should be approximately the same as the total daily dose of the previous tacrolimus formulation.  Dosage adjustments are made based on blood tacrolimus concentrations and clinical response. It's crucial to follow the healthcare provider's instructions precisely."
EZ-OX Plus,"EZ-OX Plus is an over-the-counter (OTC) medication primarily used for the temporary relief of symptoms associated with the common cold and flu, such as nasal congestion, sinus pressure, headache, minor aches and pains, and fever.  It typically contains a combination of active ingredients including an analgesic (pain reliever) like acetaminophen or ibuprofen, a decongestant like phenylephrine or pseudoephedrine, and an antihistamine like chlorpheniramine or diphenhydramine.  The specific indications depend on the exact formulation of the product.","Side effects can vary depending on the specific ingredients in the EZ-OX Plus formulation. Common side effects may include drowsiness, dizziness, dry mouth, nausea, upset stomach, constipation, nervousness, or difficulty sleeping.  More serious, but less common, side effects could include allergic reactions (rash, itching, swelling), rapid or irregular heartbeat, and severe dizziness.  If any serious side effects occur, stop taking the medication and seek medical attention immediately.","EZ-OX Plus can interact with other medications, including monoamine oxidase inhibitors (MAOIs), certain antidepressants, blood thinners, and other cold or allergy medications.  It may also interact with alcohol.  It is crucial to check with a pharmacist or doctor before taking EZ-OX Plus if you are taking any other medications, especially those listed above.  Provide a complete list of your current medications and supplements to your healthcare provider to avoid potential interactions.",The dosage of EZ-OX Plus depends on the specific formulation and the age of the patient.  Always follow the directions on the product label carefully. Do not exceed the recommended dose.  Consult a doctor or pharmacist for dosage recommendations for children and individuals with underlying health conditions.  Do not use for an extended period without consulting a healthcare professional.
Eliglustat Tartrate,"Eliglustat Tartrate is indicated for the long-term treatment of adults with Gaucher disease type 1 who are CYP2D6 extensive, intermediate, or poor metabolizers.","Common side effects include fatigue, nausea, diarrhea, abdominal pain, peripheral edema, dizziness, headache, and arthralgia.  More serious but less common side effects can include bradycardia, gastrointestinal bleeding, and drug-induced liver injury. It is important to note that this is not an exhaustive list and patients should consult with their healthcare provider for a complete list of potential side effects.","Eliglustat Tartrate is a moderate inhibitor of CYP2D6 and a strong inhibitor of CYP3A.  Therefore, it can interact with medications that are substrates of these enzymes.  Concomitant use with strong or moderate CYP3A inducers (e.g., rifampin, St. John's wort) can significantly decrease eliglustat exposure and should be avoided.  Eliglustat can also increase the plasma concentrations of drugs that are substrates of P-glycoprotein (P-gp).  Monitoring and dose adjustments may be necessary when co-administering eliglustat with sensitive substrates of CYP2D6, CYP3A, or P-gp.  Consult a healthcare professional for a comprehensive list of drug interactions.",The recommended dosage of Eliglustat Tartrate is 84 mg orally twice daily. The dosage may need to be adjusted based on individual patient factors such as CYP2D6 metabolizer status and concomitant medications.  Patients should always follow their healthcare provider's instructions regarding dosage.
Exenatide Extended-Release Injection (Bydureon BCise),Exenatide extended-release injection (Bydureon BCise) is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.,"Common side effects include nausea, vomiting, diarrhea, constipation, injection site reactions (e.g., nodules, erythema, pruritus), hypoglycemia (when used with other antidiabetic agents), and headache.  Serious side effects may include acute pancreatitis, gallbladder disease, renal impairment, and serious allergic reactions (including anaphylaxis).","Exenatide can slow gastric emptying, which can affect the absorption of orally administered medications.  Drugs with narrow therapeutic indices that require careful absorption monitoring should be administered with caution.  Examples include antibiotics, acetaminophen, and oral contraceptives. Consult a healthcare professional for specific guidance on co-administered medications.","The recommended dosage of Bydureon BCise is 2 mg subcutaneously once weekly. It should be administered on the same day each week, regardless of meals. It should not be administered intravenously or intramuscularly."
EpiPen 2-Pak,"['Emergency treatment of life-threatening allergic reactions (anaphylaxis) caused by insect stings or bites, foods, drugs, and other allergens', 'Treatment of exercise-induced anaphylaxis', 'Treatment of idiopathic anaphylaxis (anaphylaxis of unknown cause)']","['Fast or irregular heartbeat', 'Sweating', 'Nausea and vomiting', 'Dizziness or lightheadedness', 'Headache', 'Anxiety, nervousness, or restlessness', 'Tremors or shakiness', 'Pale skin', 'Weakness or fatigue', 'Vision changes', 'Shortness of breath or wheezing', 'Increased blood pressure', 'Pain, redness, swelling, or itching at the injection site']","[{'drug': 'Tricyclic antidepressants (TCAs)', 'interaction': 'May potentiate cardiovascular effects of epinephrine, leading to increased risk of high blood pressure, irregular heartbeats, and other cardiovascular complications.'}, {'drug': 'Monoamine oxidase inhibitors (MAOIs)', 'interaction': 'May prolong and intensify the effects of epinephrine, increasing the risk of severe side effects.'}, {'drug': 'Beta-blockers', 'interaction': 'May block the effects of epinephrine, reducing its effectiveness in treating anaphylaxis.'}, {'drug': 'Digoxin', 'interaction': 'May increase the risk of heart rhythm problems when used with epinephrine.'}, {'drug': 'Levothyroxine (thyroid hormone)', 'interaction': 'May increase the effects of epinephrine on the heart.'}]","[{'population': 'Adults and children who weigh 30 kg (66 lbs) or more', 'dose': '0.3 mg intramuscularly into the anterolateral aspect of the thigh, through clothing if necessary. May repeat dose every 5 to 15 minutes as needed if symptoms persist or recur.'}, {'population': 'Children who weigh less than 30 kg (66 lbs)', 'dose': '0.15 mg intramuscularly into the anterolateral aspect of the thigh, through clothing if necessary. May repeat dose every 5 to 15 minutes as needed if symptoms persist or recur.'}]"
Fingolimod Hydrochloride,"Fingolimod hydrochloride is indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults and children 10 years of age and older.","Common side effects include headache, influenza, diarrhea, back pain, elevated liver enzymes, and cough.  More serious side effects can include macular edema, bradycardia (especially after the first dose), infections (including serious infections such as herpes infections, progressive multifocal leukoencephalopathy, and other opportunistic infections), decreased lung function,  and increased blood pressure.  Fingolimod may also cause fetal harm when administered to a pregnant woman.","Fingolimod has several significant drug interactions.  Co-administration with other drugs that prolong the PR interval (e.g., beta-blockers, class Ia and III antiarrhythmics, calcium channel blockers) or other immunomodulators (especially anti-neoplastic, immunosuppressive, or immune-modulating therapies) can increase the risk of additive effects, including bradycardia or immunosuppression. Live attenuated vaccines should be avoided.  Concomitant use with ketoconazole can increase fingolimod exposure.",The recommended dosage of fingolimod hydrochloride is 0.5 mg orally once daily for adults and children 10 years of age and older. No dosage adjustment is needed for patients with renal impairment.  Dosage adjustments may be necessary for patients with hepatic impairment.
"Fluocinolone, hydroquinone, and tretinoin Topical application","Fluocinolone, hydroquinone, and tretinoin topical is a combination medication primarily indicated for the short-term treatment of moderate-to-severe melasma of the face, particularly when it is accompanied by inflammatory lesions.  It addresses the hyperpigmentation (darkening of the skin) associated with melasma by combining a corticosteroid to reduce inflammation, a depigmenting agent, and a retinoid to promote skin cell turnover.","Common side effects include mild burning, stinging, dryness, redness, itching, and peeling of the treated skin. Less common but more serious side effects may include severe skin irritation, allergic contact dermatitis, skin atrophy (thinning), telangiectasia (spider veins), hypopigmentation (lightening of the skin), or hyperpigmentation (darkening of the skin) outside the treated area.  Patients should also be aware of the potential for steroid-induced rosacea or perioral dermatitis.  If any of these occur, medical advice should be sought.","While specific drug interactions for this combination product are not extensively documented, individual components have potential interactions.  Avoid using other topical medications, especially those containing peroxides, resorcinol, or salicylic acid, on the same area unless directed by a physician.  Concomitant use of other corticosteroids can increase the risk of systemic corticosteroid side effects.  Inform your doctor about all other medications and skincare products you are using.","Generally, a thin layer of Fluocinolone, hydroquinone, and tretinoin topical is applied to the affected areas of the face once daily, preferably at bedtime.  Treatment duration should be limited, and patients should follow their doctor's instructions carefully.  Overuse or prolonged use can increase the risk of side effects, particularly those related to the corticosteroid component.  Sunscreen use is crucial during and after treatment to protect the skin from further sun damage and potential hyperpigmentation."
Flovent,"Flovent (fluticasone propionate) is a corticosteroid indicated for the maintenance treatment of asthma as prophylactic therapy in patients 5 years and older. It is also indicated for the maintenance treatment of airflow obstruction and reducing exacerbations in patients with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema.","Common side effects of Flovent include headache, throat irritation, upper respiratory tract infection, nasal congestion, sinus pain, and candidiasis of the mouth and throat.  More serious but less common side effects can include  immunosuppression, adrenal suppression, growth effects in children, glaucoma, cataracts, and increased risk of pneumonia.  Patients should rinse their mouths after each inhalation to reduce the risk of oral candidiasis.","Strong CYP3A4 inhibitors (e.g., ritonavir, ketoconazole) can increase fluticasone systemic exposure and should be avoided unless the benefit outweighs the risk of systemic corticosteroid side effects.  Concomitant use with other inhaled corticosteroids may increase the risk of systemic side effects.","The dosage of Flovent varies depending on the patient's age, condition (asthma or COPD), and the specific Flovent product used (HFA inhalation aerosol or Diskus).  For asthma in adults and adolescents 12 years and older, the usual starting dose is 88 mcg twice daily.  For COPD, the usual dose is 176 mcg twice daily.  Dosages may be adjusted based on individual response.  It is crucial to follow the prescribed dosage and consult with a healthcare professional for any dosage modifications."
Fioricet Oral,Fioricet is indicated for the relief of tension (muscle contraction) headaches. It is important to note that Fioricet is not indicated for the treatment of migraines.,"Common side effects include dizziness, drowsiness, lightheadedness, sedation, shortness of breath, nausea, vomiting, stomach pain, tremors, and anxiety.  More serious, but less common, side effects include allergic reactions (rash, hives, itching, swelling), changes in heart rate, and signs of liver damage (yellowing of skin or eyes, dark urine, pale stools).  Patients should seek immediate medical attention if they experience serious side effects.","Fioricet can interact with several medications, including: 
- **Alcohol:**  Concurrent use can increase sedation and other central nervous system depressant effects. 
- **Antidepressants (MAOIs):**  Combining Fioricet with MAOIs can cause a serious and potentially fatal drug interaction. 
- **Sedatives, tranquilizers, and other CNS depressants:**  These can increase the sedative effects of Fioricet. 
- **Anticoagulants (blood thinners):** Butalbital, a component of Fioricet, can affect blood clotting. 
- **Barbiturates:**  Concomitant use can increase the risk of central nervous system depression. 
- **Other medications metabolized by the liver:** Fioricet can affect the metabolism of other drugs, and vice versa. It is crucial to inform your doctor about all medications and supplements you are taking.","The typical adult dosage of Fioricet is one or two tablets every four hours as needed for pain relief.  The maximum daily dose is six tablets.  However, dosage should be individualized based on patient needs and response to therapy.  It's crucial to follow a physician's prescribed dosage and not exceed the recommended daily limit.  Long-term use of Fioricet is generally not recommended due to the potential for dependence and other adverse effects."
FeRivaFA,"FeRivaFA is a combination medication containing iron, riboflavin, folic acid, and vitamin A. It is primarily indicated for the prevention and treatment of nutritional deficiencies involving these nutrients, particularly in conditions like iron-deficiency anemia, pregnancy, and periods of increased nutritional demand.  It may also be used in individuals with poor dietary intake or malabsorption of these nutrients.","Common side effects may include constipation, dark stools, nausea, and stomach upset.  Allergic reactions, although rare, can occur.  If you experience severe or persistent side effects, consult a healthcare professional.","Iron absorption can be affected by antacids, tetracyclines, and certain antibiotics.  Consult your doctor or pharmacist about potential interactions with other medications you are taking, including over-the-counter drugs and supplements.  Dairy products, calcium supplements, and foods high in fiber can also interfere with iron absorption. It's generally recommended to take iron supplements separate from these items.",The dosage of FeRivaFA varies depending on the individual's specific needs and the severity of the deficiency.  It is crucial to follow the prescribed dosage instructions provided by your healthcare professional or as indicated on the product label. Do not exceed the recommended dose without consulting a doctor.
Florbetapir F 18,Florbetapir F 18 is a radioactive diagnostic agent indicated for Positron Emission Tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer's Disease (AD) and other causes of cognitive decline.,"Generally, Florbetapir F 18 is well-tolerated.  Side effects are rare and generally mild, including injection site reactions (e.g., pain, redness, bruising), headache, dizziness, and nausea. Hypersensitivity reactions, although rare, are possible.","No significant drug interactions have been identified. However, it's important to inform your physician about all medications, including over-the-counter drugs and supplements, that you are currently taking.",The recommended dose of Florbetapir F 18 is 370 MBq (10 mCi) administered as a single intravenous bolus injection.  Imaging acquisition is typically performed 30-90 minutes post-injection.  The patient should be well-hydrated before and after administration.
